,review_no,discount_text
154,3048834,sample for testing
234,3087327,Sample provided for review
352,3336059,sample to test for this review
1153,979611,Sample provided for review
1294,1603553,sample for review
1533,3260968,Sample provided for review
1812,1763451,Sample provided for review
2193,3104996,sample for review
2209,1637902,sample provided for review
2412,1462084,sample of this product from the manufacturer to review
2564,398060,Sample provided for review
2594,3073618,sample in exchange for a fair and unbiased review
3171,528291,Sample provided in exchange for honest and unbiased review
3242,2440568,sample provided for review
3287,3173897,sample of these for my honest review
3472,1226219,Sample provided for review
3829,16043,Sample provided for review
4044,2418759,sample of this product in return for my honest and frank review
4081,3235915,sample received for review
4112,1162160,Sample provided for review
4329,3377249,sample received for evaluation
4361,2155020,sample of this product for testing
4908,3189347,sample of this toothbrush from Smiley.com for purpose of review
5261,1198848,sample of these and try one of each first before you complain in the review
5469,2912510,sample for the purposes of review
5539,2929353,Sample provided for review
5898,3342879,sample for review
5902,567960,Sample provided for review
5965,2795183,Sample provided at a reduced price for review
6238,1174154,Sample provided for review
6319,3245193,Sample provided for the purpose of testing
6580,1427291,"sample some of the manufacturer's other products. I really enjoy macadamia nuts and thought the Macadamia with Cashews butter would be a good product to try. This product is made with just two ingredients -- macadamias and cashews -- and I can say that this product demonstrates what a healthy, good for you food should taste like.<br /><br />The macadamia cashew butter is easily retrieved from the container. There was some oil separation but after a little stirring, one can take a butter knife and quickly spread the substance on a piece of toast or apple slices. When looking at the butter, you will see little pieces of nuts which makes this product product have some texture. This macadamia cashew butter is not as chunky as most chunky peanut butters; the chunks in this product are much finer. I found the flavor to be very much influenced by the raw cashews and actually considered my jar to be more of a cashew butter than a macadamia butter.<br /><br />It is recommended that this product be refrigerated for a longer life.<br /><br />While not noted explicitly on the product's label, I could see nothing that would contradict my belief that this is a vegan product. There is no milk, honey, eggs or other animal-based substances that go into the formulation of this product. According to the product packaging, this product is \\""made in a facility that processes tree nuts and soy, but does not process peanuts, gluten, dairy, cholesterol or GMO's.\\""  As a side note, if you are allergic to cashews, I have not found one of Artisana's butters to be absent of cashews.<br /><br />Artisana products are delicious and simple in their composition.  Since purchasing the macadamia nut butter, I have sampled the pecan, cashew and walnut butters.  With the exception of the cashew butter, I would buy them all again. For holiday gift giving, I'm definitely going to be packaging several of Artisana's products in gift baskets. They are tasty, natural and unique.<br /><br />This product is made in the United States.<br /><br />A note on another place to buy this product, iherb.com.  I turn to iherb.com with frequency to purchase Artisana products.  Sometimes Amazon has the best price and sometimes iherb.com has the best price.  iherb.com has free"
6734,3502859,Sample provided for review
7001,1938220,Sample provided for review
7131,349003,"sample with every court order of protection--it orders. Quantities and time are limited to this Christmas season, so act now and get to a judge. (Just kidding).<br /><br />Really, practice with the thumb and not the spray. Use only in self-defense. Keep it to two short bursts.<br /><br />Use responsibly.ractice with this because you might only have 7 to 11 seconds of one-second bursts. It smells and stinks to the high heavens. You can smell it on someone's clothes 100 feet away. All you need to do is give two, one-second bursts and it will probably be enough to stop your assailant.  It has come a long way since the postman adopted it against dogs protecting their home turf and keeping them from the swift completion of their appointed rounds.  If you act now, the Queens County Courthouse is giving away a free"
7217,2202754,sample for testing
7478,1885396,sample in exchange for an honest review
7492,2291142,"sample if you have not already done so.  This album presents a good, foot-tapping collection.<br /><br />Boozoo Chavis, who in 1954 recorded what is considered to be the first modern Zydeco recording, is represented here, with his song Uncle Bud.<br /><br />Grammy award winners Rockin' Sidney and Queen Ida are also here.<br /><br />Be aware that the Chenier on this album is not the great Clifton Chenier (the \\""King of Zydeco\\"") but his son, C.J. Chenier (not that C.J. is any slouch).  He performs his father's hit composition, My Baby Don't Wear No Shoes.<br /><br />This is a pretty good introduction to these two genres.  The reason my review"
7691,2806413,Sample provided for review
7699,578127,sample soap lasted 1 1/2 months and the batteries are still going strong.  The Simple Human branded soap doesn't seem to be too expensive considering that you are receiving two 34 oz packages via Amazon's Subscribe & Save program.  The refills packages also have an easy-pour spout unlike the sample provided with the product.<br /><br />Pros:<br />*No Dripping!  Does not drip at all.<br />*Works wonderfully with the free
8140,3024046,sample was provided to me for review
8279,1134264,sample for an honest/impartial review
8295,1921026,sample for review
8383,481407,"sample came with a couple of extra black, plastic plates for different installation types, but I've no idea what they do and they weren't necessary for my installation!<br /><br />I really like that you can see and hear what's going on outside your front door if you need to, by firing up the SkyBell app and using the live feed button. You can watch for 5 minutes straight before it disconnects you (plenty of time), and you can always restart the feed with a single button press on your iPhone. I don't know why it disconnects you after 5 minutes, but it may be to do with keeping the heat down on the camera sensor etc. After all, SkyBell isn't designed to be a dedicated surveillance system or anything.<br /><br />A few updates and this could easily be a 5-star product. But there are so few configurable settings available for user adjustment as of December 28, 2014 which is a huge, huge missed opportunity. Hopefully 2015 will really be the year of SkyBell.<br /><br />3.75 out of 5. Almost a solid recommendation, but the software must improve!<br /><br />*Sample provided for objective review"
8389,3446156,sample was provided for review
8781,639347,sample I received for review
9005,1881449,Sample provided to review
9176,2580176,sample for review
9866,1205379,sample of this oil and this is my honest review
9904,2192456,Sample provided for review
9920,370483,sample for review
9954,98395,sample of this product from the founder to review
10116,127688,Sample received for review
10307,1142238,sample for review
10686,2574351,sample provided in exchange for a fair and honest review
12109,733886,Sample provided for review
12306,1812078,sample provided for review
12432,2557601,sample a track first.<br /><br />I hope you found this review
12773,1611153,Sample provided for review
12901,3390649,sample for review
13167,3423400,sample of this product from the manufacturer to review
13765,78843,sample for evaluation
13977,1695414,sample was provided for evaluation
14214,2683663,sample of this product to facilitate my review
14480,1504967,Sample provided for review
14605,3240836,Sample provided for review
14960,2113908,sample for review
15041,1411587,Sample provided for review
15051,2683283,sample of this product to facilitate my review
15299,2760611,sample was provided for review
15494,366152,sample for testing
15498,2904025,sample of this LifeSky thermos for review
15579,169993,free product&#34; to review
15604,139061,free product for the purpose of writing a review
15827,3078061,sample of these razors free
15920,817118,Sample provided for review
16080,1021681,sample to review
16211,2044515,sample for review
16224,843264,"free product. I have only moderately annoying symptoms from dairy casein and gluten, but am not so sensitive that I must heed Pamela's warning about some of her products: Allergens: None. Produced on equipment that also makes products containing tree nuts, soy, eggs, and milk.\\"" I find many gluten free"
16267,443266,sample Gelindo multitool to review
16460,864649,free product to test in return for an honest review
16528,1947142,sample for evaluation
16863,1673616,"sample of his cocoa to a Dr. Later he reads of a housekeeper who poisons their employers and is still at large. Then things start to click.<br />9.\\""The Long Shot\\""- Charlie Raymond is a gambler who's deep in debt. He ends up reading a newspaper advertisment asking for a londoner who is willing to accompany a British visitor on a trip. The man he meets asks a lot of questions.<br />10.\\""The Case of Mr. Pelham\\""- Mr. Pelham consults a doctor after some troubling incidents. Acquaintances claim to have seen him in places he could not have been. They come to the conclusion there may be another man with a resemblence to Pelham. In actuality it's a man who's deliberately impersonating him.<br />11.\\""Guilty Witness\\""- Stanley Crane is working at his grocery store when his upstairs neighbor comes in with a bruised face. She seems to have been beaten up. The same night Stanley and his wife hear fight. This time it's different though. One of them is dead and now they have to prove it to the investigator.<br />12.\\""Santa Claus and the 10th Avenue Kid\\""- Story of Harold, a thief who has done time and is now out on parole. He gets a job as a department store Santa Claus. At first he isn't happy but soon sacrifices himself to make a kid's wish come true.<br />13.\\""The Cheney Vase\\""- Lyle is a smooth talker yet he can't seem to save his job at a Manhatten Art Museum. He finally gets lucky. An old woman comes in the Museum and he hears about a vase. He seems this as his opportunity, goes to the woman's house and invades her life.<br />14.\\""A Bullet for Baldwin\\""- A fired office worker ends up shooting his boss to death. He goes back to his home and waits to be arrested. Instead everyone acts like nothing happened the next day.<br /><br />Disc Two-<br /><br />15.\\""The Big Switch\\""- It's the 1920's and Gangster Sam Dunleavy has just returned to town. He is visited by his childhood friend. Sam has a falling out with a girlfriend and plans on killing her. Despite being warned not to, he tries to go through with it. Then a series of unexpected events occur.<br />16.\\""You Got to Have Luck\\""- An escaped convict invades a woman's house after her husband leaves for work. From there he gives her orders and thinks he's home free"
17124,1255943,free product in exchange for a fair and honest review
17230,1527474,Sample provided for review
17413,3177127,Sample provided for review
17451,1807354,"sample a new virtual reality video game that actually cocoons its users in a capsule to provide the ultimate gaming experience.<br /><br />It turns out the players have their choice of different themes/adventures to participate in while in the game. Conan and his friends enter London in the 19th century during the time of Jack the Ripper. Soon after the kids enter the game, Noah's Ark takes over the program and immediately closes all exits to the game.  It reasons that someone must solve at least one of the game scenarios successfully to win the free"
17695,3117319,sample of this product to examine and test for my review
17714,1425173,sample for review
17729,932974,sample for evaluation
17746,2543631,"free unit, plus, it will stream audio (in stereo) as well as calls from your mobile phone to your car's audio system which makes it ideal for older or basic cars. I have used this device with two phones - a Nokia Lumia 520 and a Moto G. The package includes the hands free"
17844,1735705,Sample provided for objective review
17906,443845,sample was provided for review
18054,2301114,sample of the Fall Harvest trio of candles for review
18899,2846053,Sample provided for review
18938,1305847,"free products, it was nearly so to find ones that could be considered acceptable substitutes.<br /><br />And pasta was high on the list. Early varieties I chose were truly horrid, clearly designed for people who had no choice- shaped correctly, but odd of color; and chewy, with a texture and taste that could in no way be considered acceptable or in some cases even recognizable. And could overpower almost any sauce.<br /><br />I recently discovered a relatively major brand on the grocery store pasta shelf now had a GF spaghetti. I gave it a try and was optimistic. It was not completely the right color, but close, which I considered a good sign. I found the taste and texture to be not a whole lot worse than any other brand of normal boxed pasta that had been sitting on a shelf for years and then served undercooked.<br /><br />I was pleased to see that now Barilla had thrown their capellini into the ring, as it were- despite their personal views on family life in America, they are still considered one of the world’s major pasta manufacturers. I figured it could be no worse.<br /><br />I cooked a batch of the Barilla, the Ronzoni, and some stale non-GF Barilla I had sitting around. As I expected, they were more or less the same, which is a good thing, I guess. Unfortunately, it was a bit harder to cook the texture on the GF correctly, it seemed to go from a sort of “al dente” to “slime” a lot more quickly than the non. Seemed to be no matter how it was cooked, to be a little bit more chewy than non GF. Taste? Right out of the pot, it seemed just a bit- off somehow. Not bad, but since I was unable to get it to a familiar consistency, just- off. Next came a bit of olive oil, then later a simple white sauce, and ultimately a full-on Bolognese. And obviously, the deeper the sauce, I would have to say the substitution would unlikely be detected.<br /><br />Do not forget that for the purpose of this review"
19333,3247435,sample I received for testing
19427,1409410,"sample of a movie.  This movie is so totally unbelievable, over dramatic and completly devoid of any suspense, it's a total waste of time.  I felt so cheated at the end of the movie, I'll never watch it again.  I'm warning you SKIP THIS MOVIE, but some of you probably won't because the brain numbing people who loved  the \\""Transporter 2\\"", and \\""Dukes Of Hazard\\"" gave it 5 stars and said it was good.  Another review"
19618,1817681,"sample of this dress to check for size and fabric, and am happy to be able to post a positive review"
19623,2452764,sample for review
19744,7603,Sample provided for review
20228,3055757,sample of this product from the manufacturer in exchange for an unbiased review
20389,2295304,Sample supplied for review
